nom;idparking;idparkingcriter;commune;insee;proprietaire;gestionnaire;idfournisseur;voieentree;voiesortie;avancement;annee;typeparking;situation;parkingtempsreel;gabarit;capacite;capacite2rm;capacitevelo;capaciteautopartage;capacitepmr;usage;vocation;reglementation;fermeture;observation;codetype;gid;lon;lat
Ecole;P520;;Saint-Genis-les-Ollières;69205;COMMUNE;COMMUNE;;Rue de la Libération;Rue de la Libération;Existant;;Poche de stationnement;En surface;False;;32;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;6182;4,72273298161554;45,7577373523841
Place Christophe Colomb;P544;;Caluire-et-Cuire;69034;GRAND LYON;GRAND LYON;;Grande rue de Saint Clair;Grande rue de Saint Clair;Existant;;Poche de stationnement;En surface;False;;14;0;0;0;0;Horaire;Commerciale;Payant;Ouvert 24h/24h;;5;6545;4,85853691419304;45,7904893537076
Bas Port;P675;;Givors;69091;;;;Quai Georges Lévy;Quai Georges Lévy;Existant;;Aire de covoiturage;En surface;False;;60;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;Parking inondable;6;7123;4,77575432501395;45,5849624074817
Place Guimet;P332;;Fleurieu-sur-Saône;69085;GRAND LYON;GRAND LYON;;Grande Rue;Grande Rue;Existant;;Poche de stationnement;En surface;False;;10;0;0;0;0;Libre;Mixte;Gratuit;Marché;mercredi matin;5;1092;4,84522037944624;45,8627605559335
Stade;P389;;Genay;69278;COMMUNE;COMMUNE;;Rue des Ecoles;Rue des Ecoles;Existant;2012;Aire de covoiturage;En surface;False;;37;0;0;0;0;;Evènementielle;Gratuit;Ouvert 24h/24h;;6;2564;4,83703175614048;45,8964881226151
Bel-Air;P782;;Mions;69283;PRIVE;PRIVE;;Route de Chaponnay;Route de Chaponnay;Existant;;Poche de stationnement;En surface;False;;50;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;;5;8118;4,94933611267981;45,6520632535753
Centre;P957;;Quincieux;69163;;;;Route de Chasselay;Route de Chasselay;Existant;2010;Poche de stationnement;En surface;False;;37;0;0;0;2;Libre;;Gratuit;Ouvert 24h/24h;;5;8340;4,77703663044684;45,9140873798974
Place Bad Abbach;P247;;Charbonnières-les-Bains;69044;COMMUNE;COMMUNE;;Avenue Alexis Brevet;Chemin Saint Roch;Existant;;Poche de stationnement;En surface;False;;70;;;;;Libre;;Gratuit;Ouvert 24h/24h;;5;1008;4,74377940304503;45,7784973282792
P+R Meyzieu ZI;P49;45;Meyzieu;69282;SYTRAL;TCL;MEYZ;Avenue Henri Schneider;Avenue Henri Schneider;Existant;2007;P+R Sytral;En surface;True;2.0;473;0;120;0;10;Réservé abonnés;;Payant;Nuit;T3 - Avec contrôle d'accès;3;756;5,03342664220346;45,7684903869074
Halte Ferroviaire de Pierre-Bénite;P86;58;Pierre-Bénite;69152;RFF;SNCF;SNCF_5;Rue Stalingrad;Rue Stalingrad;Existant;;P+R Gare;En surface;False;;50;0;4;0;;Libre;;Gratuit;Ouvert 24h/24h;Lyon-Saint-Etienne;2;667;4,82433075439569;45,706352694085
Marché;P463;;Neuville-sur-Saône;69143;GRAND LYON;GRAND LYON;;Quai Pasteur;Quai Pasteur;Existant;;Poche de stationnement;En surface;False;;222;0;0;0;2;Horaire;Commerciale;Payant;Marché;"Vendredi matin ; Horodateur 1h30 gratuite puis payant la 1/2h";5;5766;4,83834895409601;45,8763931658449
Place Carré Brûlé;P398;;Feyzin;69276;GRAND LYON;GRAND LYON;;Allée Jean Moulin;Allée Jean Moulin;Existant;2005;Poche de stationnement;En surface;False;3.0;23;0;6;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;2886;4,85713010671103;45,6694024852328
P+R Rillieux Semailles;P62;92;Rillieux-la-Pape;69286;SYTRAL;TCL;RILL;Avenue de l'Europe;Avenue de l'Europe;Existant;2012;P+R Sytral;En surface;True;;50;0;0;0;2;Libre;;Gratuit;Nuit;C2 et C5;3;8100;4,90962885765987;45,8194474192337
Hôtel de Ville;P996;;Rillieux-la-Pape;69286;GRAND LYON;GRAND LYON;;Rue Ampère;Rue Ampère;Existant;;Poche de stationnement;En surface;False;;70;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h;;5;8392;4,89910610402948;45,8186357462527
Rue de Lyon;P497;;La Tour-de-Salvagny;69250;GRAND LYON;GRAND LYON;;Avenue de l'Hippodrome;Av. Hippodrome/R. de Lyon;Existant;;Poche de stationnement;En surface;False;;6;0;0;0;1;Libre;Commerciale;Zone bleue;Ouvert 24h/24h;2 emplacements taxis;5;6149;4,7173731615246;45,8149294186722
Musée Gallo-Romain;P745;;Lyon 5e Arrondissement;69385;GRAND LYON;GRAND LYON;;Rue Roger Radisson;Rue Roger Radisson;Existant;;Poche de stationnement;En surface;False;;43;0;0;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;8055;4,81876006954487;45,760297180562
Contre allée de la Poste;P367;;Neuville-sur-Saône;69143;GRAND LYON;GRAND LYON;;Rue Pierre Dugelay;Rd point 11 novembre/Dugelay;Existant;;Poche de stationnement;En surface;False;;21;0;2;0;0;Horaire;Commerciale;Payant;Ouvert 24h/24h;Horodateur 45' gratuite puis payant la 1/2h;5;5442;4,84001569450889;45,8748964441021
Stade;P904;;Irigny;69100;;;;Rue du Stade;Rue du Stade;Existant;;Poche de stationnement;En surface;False;;27;0;0;0;0;Libre;Evènementielle;Gratuit;Ouvert 24h/24h;;5;8264;4,823924254685;45,6903341056541
