nom;idparking;idparkingcriter;commune;insee;proprietaire;gestionnaire;idfournisseur;voieentree;voiesortie;avancement;annee;typeparking;situation;parkingtempsreel;gabarit;capacite;capacite2rm;capacitevelo;capaciteautopartage;capacitepmr;usage;vocation;reglementation;fermeture;observation;codetype;gid;lon;lat
Bourg;P899;;Lissieu;69117;COMMUNE;COMMUNE;;Rue des Sapins;Rue des Sapins;Existant;;Poche de stationnement;En surface;False;;21;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;8259;4,74318306616529;45,8644936799456
Quincieux - Bottière;P9015;;Quincieux;69163;;;;RD 51;;Existant;;Covoiturage spontané;;;;;;;;;;;;;Autohop;8;8521;4,77508300433119;45,9167766424995
Les Serres;P596;;Vénissieux;69259;GRAND LYON;GRAND LYON;;Avenue Marcel Paul;Avenue Marcel Paul;Existant;;Poche de stationnement;En surface;False;;15;0;0;0;2;Libre;Commerciale;Zone bleue;Ouvert 24h/24h;;5;6999;4,88130524991595;45,7003400163236
Place de l'Eglise;P381;;Saint-Romain-au-Mont-d'Or;69233;COMMUNE;COMMUNE;;Rue de la Charrière;Rue de la Charrière;Existant;1999;Poche de stationnement;En surface;False;;6;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;;5;2242;4,82297698928087;45,837283363275
Place de Verdun;P429;;Genay;69278;GRAND LYON;GRAND LYON;;Place de Verdun;Place de Verdun;Existant;2005;Poche de stationnement;En surface;False;;16;0;5;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;4161;4,84141948372249;45,897847740835
Esplanade Itzhak Rabin;P526;;Meyzieu;69282;COMMUNE;COMMUNE;;Rue L. Buisson/Rue R. Fusier;Rue René Fusier;Existant;;Poche de stationnement;En surface;False;;81;0;5;0;3;Libre;Commerciale;Zone bleue;Ouvert 24h/24h;;5;6497;4,99739093673173;45,7652185930951
Fort du Paillet;P582;;Dardilly;69072;COMMUNE;COMMUNE;;Chemin du Fort;Chemin du Fort;Existant;;Poche de stationnement;En surface;False;;35;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;;5;6970;4,74812740272385;45,8245229913067
Place Favard;P862;;Saint-Priest;69290;GRAND LYON;GRAND LYON;;Rue du Puit Vieux;Rue du Puit Vieux;Existant;;Poche de stationnement;En surface;False;;22;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;8221;4,94457236946793;45,6974269950526
Château du Fort;P323;;Feyzin;69276;COMMUNE;COMMUNE;;Rue du Docteur Jean Long;Rue du Docteur Jean Long;Existant;;Poche de stationnement;En surface;False;;70;;;;;Libre;;Gratuit;Ouvert 24h/24h;;5;1083;4,860947718312;45,6732270710741
Garderie;P609;;Poleymieux-au-Mont-d'Or;69153;COMMUNE;COMMUNE;;Route de la Rivière;Route de la Rivière;Existant;2010;Poche de stationnement;En surface;False;;5;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h;;5;7020;4,80065605194839;45,8558508160995
Cimetière des Presles;P907;;Irigny;69100;COMMUNE;COMMUNE;;Chemin des Presles;Chemin des Presles;Existant;;Poche de stationnement;En surface;False;;62;0;0;0;1;Libre;Evènementielle;Gratuit;Ouvert 24h/24h;;5;8267;4,81520036496256;45,6813124559942
P+R Vaulx en Velin La Soie;P52;40;Vaulx-en-Velin;69256;SYTRAL;TCL;SOI;Rue Maurice Moissonnier;Rue Maurice Moissonnier;Existant;2006;P+R Sytral;En ouvrage (en élévation);True;;474;0;142;0;10;Libre;;Gratuit;Nuit;Métro A et T3 - Avec contrôle d'accès;3;754;4,92190702943209;45,760057001546
Rimaud;P319;;Écully;69081;GRAND LYON;GRAND LYON;;Chemin Louis Chirpaz;Chemin Louis Chirpaz;Existant;;Poche de stationnement;En surface;False;;15;;;;;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;1079;4,77932888429201;45,7788891341549
Terme;P102;;Lyon 1er Arrondissement;69381;Particulier;Particulier;;Rue du Jardin des Plantes;Rue du Jardin des Plantes;Existant;;Parc privé (ou concédé non GL);En ouvrage (en élévation);False;;84;;;;;Réservé abonnés;Résidentielle;Payant;Ouvert 24h/24h;locatif;4;688;4,83075719593321;45,7696993424504
Nelson Mandela;P930;;Givors;69091;;;;Avenue Anatole France;Avenue Anatole France;Existant;;Aire de covoiturage;En surface;False;;45;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;;6;8291;4,78829966114781;45,5771589839534
CC Givors 2 vallées;P153;;Givors;69091;PRIVE;PRIVE;;Rue de la Paix;Rue de la Paix;Existant;;Parc privé (ou concédé non GL);En surface;False;;2154;;;0;20;Libre;Commerciale;Gratuit;Ouvert 24h/24h;;4;8070;4,75027941009024;45,5843426989453
Place Saint Rambert;P757;;Lyon 9e Arrondissement;69389;GRAND LYON;GRAND LYON;;Grande Rue de Saint Rambert;Grande Rue de Saint Rambert;Existant;;Poche de stationnement;En surface;False;;15;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;8079;4,83196958797628;45,7989140900928
Verdun;P105;;Lyon 2e Arrondissement;69382;SNCF;Particulier;;6 cours de Verdun;;Existant;;Parc privé (ou concédé non GL);;;;200;;;;;;;;;réservé;4;695;4,82320221269801;45,7500729155436
Ermitage;P451;;Saint-Cyr-au-Mont-d'Or;69191;GRAND LYON;GRAND LYON;;Chemin de l'Ermitage;Chemin de l'Ermitage;Existant;;Poche de stationnement;En surface;False;;6;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;;5;4487;4,81974856018502;45,8216940603484
P+R Oullins Sud;P63;104;Oullins;69149;SYTRAL;TCL;OULS;Rue Edmond Locard;Rue Edmond Locard;Existant;2013;P+R Sytral;En surface;True;;306;0;0;;7;Libre;;Gratuit;Nuit;Métro B - Avec contrôle d'accès;3;8283;4,81538682484081;45,714119899132
Gare de Tassin;P92;74;Tassin-la-Demi-Lune;69244;RFF;SNCF;SNCF_23;Allée des Tilleuls;Allée des Tilleuls;Existant;;P+R Gare;En surface;False;;60;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;Lyon-L'Arbresle-Sain Bel;2;686;4,75978467679336;45,7614454911367
Gare d'Albigny-Neuville;P70;33;Albigny-sur-Saône;69003;RFF;SNCF;SNCF_13;Place de la Gare;Place de la Gare;Existant;;P+R Gare;En surface;False;1.9;180;6;16;0;2;Libre;;Gratuit;Ouvert 24h/24h;Lyon-Mâcon;2;673;4,83320328393591;45,8746087065582
Cimetière;P324;;Feyzin;69276;COMMUNE;COMMUNE;;Place de l'Eglise;Place de l'Eglise;Existant;;Poche de stationnement;En surface;False;;45;;;;1;Libre;Evènementielle;Gratuit;Ouvert 24h/24h;;5;1084;4,8550468892201;45,6666671751342
Saône;P443;;Neuville-sur-Saône;69143;GRAND LYON;GRAND LYON;;Avenue Jean Christophe;Rond point de Saône;Existant;2012;Aire de covoiturage;En surface;False;;125;0;0;0;0;Horaire;Mixte;Gratuit;Ouvert 24h/24h;;6;5770;4,83822958010825;45,877548600652
Ste Consorce - Rue des Monts;P951;;;;COMMUNE;COMMUNE;;Rue des Monts;Rue des Monts;Existant;;Aire de covoiturage hors GL;En surface;False;;8;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;CCVL;7;8314;4,69144605786989;45,7747430152859
Paul Barbusse;P595;;Vénissieux;69259;GRAND LYON;GRAND LYON;;Avenue Marcel Paul;Avenue Marcel Paul;Existant;;Poche de stationnement;En surface;False;;16;0;0;0;2;Libre;Mixte;Gratuit;Marché;mercredi matin et dimanche matin;5;6998;4,88203230439122;45,6994756662233
Crêche;P9010;;Meyzieu;69282;;SERL;;Rue Gustave Eiffel;;Existant;;Covoiturage spontané;;;;;;;;;;;;;Stop covoiturage;8;8333;5,02656903217958;45,7834455089811
Voie verte;P546;;Caluire-et-Cuire;69034;SNCF;;;Av. M. Sangnier/Rue Lavoisier;Av. M. Sangnier/Rue Lavoisier;Existant;;Poche de stationnement;En surface;False;2.0;105;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;6581;4,84452256170463;45,7940122017883
Levée;P773;;Genay;69278;GRAND LYON;GRAND LYON;;Route de Reyrieux;Route de Reyrieux;Existant;2012;Aire de covoiturage;En surface;False;;10;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;;6;8109;4,82960435768941;45,8904101612948
Alexandra;P644;;Décines-Charpieu;69275;;;;Rue de la République;Rue de la République;Existant;;Poche de stationnement;En surface;False;1.8;56;0;0;0;1;Libre;Mixte;Gratuit;;;5;7077;4,9640969901068;45,7636359667363
Curtil;P297;;Craponne;69069;GRAND LYON;GRAND LYON;;Rue Centrale;Rue Centrale;Existant;;Poche de stationnement;En surface;False;;19;0;0;0;1;Libre;Commerciale;Zone bleue;Ouvert 24h/24h;;5;1057;4,72524011955723;45,745961719335
Himbert;P269;;Chassieu;69271;COMMUNE;COMMUNE;;Rue de la République;Rue de la République;Existant;;Poche de stationnement;En surface;False;;19;0;0;0;1;Libre;Commerciale;Zone bleue;Ouvert 24h/24h;;5;1030;4,96950241739392;45,7385243473191
La Source;P430;;Saint-Cyr-au-Mont-d'Or;69191;;;;Rue Jean et Catherine Reynier;Rue Jean et Catherine Reynier;Existant;;Poche de stationnement;En surface;False;;30;0;0;0;0;Libre;Evènementielle;Gratuit;Ouvert 24h/24h;;5;4162;4,81774623592752;45,8160490560813
Boulodrome du Paillet;P580;;Dardilly;69072;COMMUNE;COMMUNE;;Chemin du Bois Ragot;Chemin du Bois Ragot;Existant;2010;Poche de stationnement;En surface;False;1.9;27;0;0;0;1;Libre;Evènementielle;Gratuit;Ouvert 24h/24h;;5;6969;4,74853843788676;45,8236782743841
Gadagne / Foch;P932;;Saint-Genis-Laval;69204;;;;Avenue de Gadagne;Avenue Maréchal Foch;Existant;;Aire de covoiturage;En surface;False;;43;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;;6;8293;4,7863781562796;45,6881815734956
Square de la République;P1048;;Chassieu;69271;GRAND LYON;COMMUNE;;Chemin du mont Saint-Paul;Chemin du mont Saint-Paul;Existant;;Poche de stationnement;En surface;False;;11;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;8506;4,97128203221685;45,7459384814832
Gare de Beynost;P1078;;;;;SNCF;;Place de la Gare;Place de la Gare;Existant;;P+R Gare;En surface;False;;60;;;0;;Libre;Mixte;Gratuit;Ouvert 24h/24h;;2;8559;5,00696899981513;45,8339150000982
Gare de la Part-Dieu;P143;;Lyon 3e Arrondissement;69383;;;;Rue Paul Bert;Rue Paul Bert;Existant;1999;Parc privé (ou concédé non GL);En surface;False;;302;22;0;0;0;Réservé abonnés;Commerciale;;Ouvert 24h/24h;réservé aux voitures de location;4;8061;4,86093327706267;45,7572592960299
Parking Bourse;P7;81;Lyon 2e Arrondissement;69382;GRAND LYON;LPA;LPA0730;Rue de la Bourse;Rue de la Bourse;Existant;1990;Parc concédé GL;En ouvrage (sous-sol);True;1.8;500;47;0;;;Réservé abonnés;;Payant;Ouvert 24h/24h;;1;724;4,83677604442291;45,7638832636847
Vourles - Maison forte;P986;;;;;COMMUNE;;Rue Charles de Gaulle;Rue Charles de Gaulle;Existant;2015;Aire de covoiturage hors GL;En surface;False;;20;;;;;Libre;;Gratuit;Ouvert 24h/24h;;7;8379;4,78036188405142;45,6609752633842
Ecole;P608;;Poleymieux-au-Mont-d'Or;69153;COMMUNE;COMMUNE;;Route de la Rivière;Route de la Rivière;Existant;2009;Poche de stationnement;En surface;False;;28;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h;;5;7019;4,8006722877977;45,8561216795228
Place des Platanes;P250;;Charbonnières-les-Bains;69044;COMMUNE;COMMUNE;;Avenue Général de Gaulle;Avenue Général de Gaulle;Existant;;Poche de stationnement;En surface;False;1.9;22;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;1006;4,73510248568601;45,785219873448
Proulieu;P406;;Genay;69278;GRAND LYON;GRAND LYON;;Rue de Proulieu;Rue de Proulieu;Existant;2009;Poche de stationnement;En surface;False;;11;0;0;0;1;Libre;Résidentielle;Gratuit;Ouvert 24h/24h;;5;2894;4,83957114412948;45,9013465218096
Guy Raffin;P634;;Grigny;69096;GRAND LYON;GRAND LYON;;Rue Guy Raffin;Rue Guy Raffin;Existant;;Poche de stationnement;En surface;False;;14;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;7056;4,78787608585617;45,6086330561988
Stade Moulin Carron;P581;;Dardilly;69072;COMMUNE;COMMUNE;;Chemin des Peupliers;Chemin des Peupliers;Existant;2007;Poche de stationnement;En surface;False;;40;3;2;0;1;Libre;Evènementielle;Gratuit;Ouvert 24h/24h;;5;6966;4,75815284807135;45,8137927045862
Place Louis Pradel;P732;;Saint-Didier-au-Mont-d'Or;69194;GRAND LYON;GRAND LYON;;Avenue de la République;Avenue de la République;Existant;;Poche de stationnement;En surface;False;3.5;52;0;0;0;1;Libre;Commerciale;Zone bleue;Marché;mercredi matin;5;8042;4,79818396448994;45,8113688628361
Dunand;P905;;Irigny;69100;COMMUNE;COMMUNE;;Avenue de Verdun;Avenue de Verdun;Existant;;Poche de stationnement;En surface;False;;25;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h;;5;8265;4,82315987647935;45,688420189594
Chapeau Rouge;P891;;Lyon 9e Arrondissement;69389;GRAND LYON;GRAND LYON;;Rue du Chapeau Rouge;Rue Cottin;Existant;;Poche de stationnement;En surface;False;;8;0;0;0;0;Horaire;Mixte;Payant;Ouvert 24h/24h;horodateur;5;8251;4,80794008471319;45,7724445101182
Agora 2;P703;;Jonage;69279;GRAND LYON;GRAND LYON;;Route de Pusignan;Route de Pusignan;Existant;;Poche de stationnement;En surface;False;2.2;170;0;10;0;4;Libre;Evènementielle;Gratuit;Ouvert 24h/24h;;5;7159;5,05126990047924;45,790409478487
Clos Cassandra;P373;;Sathonay-Village;69293;GRAND LYON;GRAND LYON;;Rue de Rivery;Rue de Rivery;Existant;2010;Poche de stationnement;En surface;False;;12;0;8;0;1;Libre;Résidentielle;Gratuit;Ouvert 24h/24h;;5;1930;4,8769519777061;45,8334963681684
Bords de Saône;P613;;Rochetaillée-sur-Saône;69168;VNF;;;Chemin de la Plage;Chemin de la Plage;En travaux;;Poche de stationnement;En surface;False;;40;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;intégrer dans le projet Rives de Saone;5;7028;4,83368300915797;45,8382977370251
Le Fort;P938;;Saint-Priest;69290;GRAND LYON;GRAND LYON;;Chemin de Saint Bonnet de Mure;Chemin de Saint Bonnet de Mure;Existant;;Aire de covoiturage;En surface;False;;20;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;;6;8300;4,9624273846066;45,6923600933153
La Bressonnière;P244;;Charbonnières-les-Bains;69044;COMMUNE;COMMUNE;;Chemin de la Bressonnière;Chemin de la Bressonnière;Existant;;Poche de stationnement;En surface;False;;40;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;;5;1005;4,7417691199132;45,7783033595691
St Genis;P771;;Saint-Genis-les-Ollières;69205;GRAND LYON;GRAND LYON;;Avenue Marcel Mérieux;Avenue Marcel Mérieux;Existant;2012;Aire de covoiturage;En surface;False;;5;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;;6;8107;4,72985801579657;45,7600011374294
Parking Ney;P934;89;Lyon 6e Arrondissement;69386;LPA;LPA;LPA0736;Rue Ney;Rue Ney;Existant;;Parc privé (ou concédé non GL);En ouvrage (sous-sol);True;1.9;160;0;0;;;Réservé abonnés;Mixte;Payant;Ouvert 24h/24h;;4;8295;4,8551428222195;45,7700887188052
Parking Université;P590;;Bron;69029;ETAT;ETAT;;Avenue de l'Europe;Avenue de l'Europe;Existant;;Poche de stationnement;En surface;False;;300;0;0;0;15;Libre;;Gratuit;Ouvert 24h/24h;;5;6989;4,91601912448854;45,7203581398919
Parking Terreaux;P2;8;Lyon 1er Arrondissement;69381;GRAND LYON;LPA;LPA0729;Rue d'Algérie;Rue Ste Marie des Terreaux;Existant;1992;Parc concédé GL;En ouvrage (sous-sol);True;1.9;641;174;118;6;;Mixte;Mixte;Payant;Ouvert 24h/24h;;1;732;4,83249335405674;45,7675936286593
Place Franklin Roosevelt;P266;;Chassieu;69271;GRAND LYON;GRAND LYON;;Avenue du Progrès;Avenue du Progrès;Existant;;Poche de stationnement;En surface;False;;90;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;1027;4,96880443223045;45,7378424603806
Angle Dauphiné-Aquitaine;P536;;Meyzieu;69282;GRAND LYON;GRAND LYON;;Rue d'Aquitaine;Rue d'Aquitaine;Existant;2008;Poche de stationnement;En surface;False;;30;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;6519;5,00537189811822;45,7641535807805
Paillet;P310;;Dardilly;69072;COMMUNE;COMMUNE;;Route de la Tour de Salvagny;Chemin du Fort;Existant;2012;Aire de covoiturage;En surface;False;1.9;34;0;0;0;0;Libre;Evènementielle;Gratuit;Ouvert 24h/24h;;6;1070;4,74913036001736;45,8226839560636
Saint-Paul (Voûtes SNCF);P118;;Lyon 5e Arrondissement;69385;Particulier;Particulier;;Rue Saint-Paul;Rue Saint-Paul;Existant;;Parc privé (ou concédé non GL);En surface;False;;120;0;0;0;0;Réservé abonnés;Résidentielle;Payant;Ouvert 24h/24h;;4;707;4,82653459712369;45,7665626158941
Gare de Montluel;P1079;;;;;SNCF;;Place de la Gare;Place de la Gare;Existant;;P+R Gare;En surface;False;;155;;;0;4;Libre;Mixte;Gratuit;Ouvert 24h/24h;;2;8553;5,05750300055168;45,8477700001976
Les Trois Orangers;P360;;Francheville;69089;GRAND LYON;GRAND LYON;;Grande Rue;Grande Rue;Existant;;Poche de stationnement;En surface;False;;89;0;0;0;4;Libre;Mixte;Gratuit;Ouvert 24h/24h;12 places en zone bleue;5;1607;4,77100495199294;45,7376120549281
SMIRIL;P821;;Grigny;69096;PRIVE;;;Rue Adrien Dutartre;Rue Adrien Dutartre;Existant;;Poche de stationnement;En surface;False;1.9;22;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;places non marquées;5;8170;4,80043902397118;45,6136081201808
Péage;P393;;Genay;69278;APRR;APRR;;Route de Trévoux;Route de Trévoux;Existant;1992;Poche de stationnement;En surface;False;;30;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;;5;2568;4,8182513294891;45,8997511243552
Provinces;P963;;Sainte-Foy-lès-Lyon;69202;;;;Chemin de Chavril;Boulevard des Provinces;Existant;;Aire de covoiturage;En surface;False;;25;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h;;6;8346;4,79992100657651;45,7466839928134
Place Henri Barbusse;P632;;Grigny;69096;GRAND LYON;GRAND LYON;;Rue du 11 Novembre;Rue du 11 Novembre;Existant;2008;Poche de stationnement;En surface;False;;16;0;0;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;7054;4,79149753937588;45,6085315804088
Pré de l'Herpe;P1010;;Vaulx-en-Velin;69256;GRAND LYON;GRAND LYON;;Avenue Gaston Bachelard;Avenue Gaston Bachelard;Existant;;Poche de stationnement;;False;2.1;84;0;0;0;3;Horaire;Mixte;Gratuit;Ouvert 24h/24h;Arrêté n°1414 du 12/06/2019 remplçant le n°1287 du 22/02/2017;5;8460;4,91554644860849;45,7777247382976
Ternay - Parking du Mur peint;P942;;;;;;;Rue Neuve;Rue Neuve;Existant;;Aire de covoiturage hors GL;En surface;False;;;;;;;Libre;;Gratuit;Ouvert 24h/24h;CCPO;7;8305;4,80971700680629;45,6062707782641
Hippodrome;P212;;Bron;69029;CG69;CG69;;Boulevard des Turfistes;Boulevard des Turfistes;Existant;;Poche de stationnement;En surface;False;2.0;240;0;10;0;5;Libre;Evènementielle;Gratuit;Ouvert 24h/24h;;5;973;4,91154710313534;45,7198027040343
Rue P. Pays - Rhodia;P159;;Collonges-au-Mont-d'Or;69063;PRIVE;PRIVE;;Rue Pierre Pays;Rue Pierre Pays;Existant;2012;Poche de stationnement;En surface;False;;40;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;TER Villefranche-Lyon;5;8204;4,84857755450348;45,8258215313747
La Croisée des Ormes;P433;;Saint-Cyr-au-Mont-d'Or;69191;GRAND LYON;GRAND LYON;;Route de Lyon;Route de Lyon;Existant;;Poche de stationnement;En surface;False;;5;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;4165;4,82136427281852;45,8075765794797
Pré aux taureaux;P924;;Francheville;69089;COMMUNE;COMMUNE;;Chemin des Aubépines;Chemin des Aubépines;Existant;2013;Poche de stationnement;En surface;False;;41;0;0;0;1;Libre;Résidentielle;Gratuit;Ouvert 24h/24h;;5;8285;4,75645444870927;45,7455727140021
7 chemins;P1031;;Chassieu;69271;GRAND LYON;GRAND LYON;;Route de Lyon;Route de Lyon;Existant;2012;Poche de stationnement;En surface;False;;6;0;0;0;1;Mixte;Commerciale;Gratuit;Ouvert 24h/24h;1 emplacement pour foodtruck;5;8485;4,93303068214314;45,744409989619
P+R Feyssine;P57;38;Villeurbanne;69266;SYTRAL;TCL;FEY;Rue de la Technologie;Rue de la Technologie;Existant;2000;P+R Sytral;En ouvrage (en élévation);False;;80;0;0;0;0;Libre;;Gratuit;Nuit;T1 - Sans contrôle d'accès;3;753;4,88194494495361;45,7864849975803
Edouard Herriot;P550;;Caluire-et-Cuire;69034;GRAND LYON;GRAND LYON;;Rue Auguste Lumière;Rue Auguste Lumière;Existant;;Poche de stationnement;En surface;False;;20;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;6913;4,83857122205337;45,7933013642691
Centre sportif 2;P889;;Lyon 9e Arrondissement;69389;GRAND LYON;GRAND LYON;;Avenue Andrei Shakarov;Avenue Andrei Shakarov;Existant;;Poche de stationnement;En surface;False;;120;0;0;0;0;Libre;Evènementielle;Gratuit;Ouvert 24h/24h;;5;8249;4,79789772230025;45,7865474444225
Schmidt;P874;;Villeurbanne;69266;GRAND LYON;GRAND LYON;;Rue Doua/Rue Bruxelles;Rue Doua/Rue Bruxelles;Existant;;Poche de stationnement;En surface;False;;190;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;8233;4,87320399033848;45,7770972143968
T3 (arrêt ZI);P9015;;Meyzieu;69282;;SERL;;Avenue Docteur Schweitzer;;Existant;;Covoiturage spontané;;;;;;;;;;;;;Stop covoiturage;8;8338;5,03060163223309;45,7684092731072
Fayolle;P438;;Saint-Cyr-au-Mont-d'Or;69191;GRAND LYON;GRAND LYON;;Route de Saint Fortunat;Route de Saint Fortunat;Existant;;Poche de stationnement;En surface;False;;10;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;4484;4,81999577916971;45,8020160366851
St Germain - Gare;P9004;;Saint-Germain-au-Mont-d'Or;69207;;TSMO;;Avenue Louis Armand;;Existant;;Covoiturage spontané;;;;;;;;;;;;;Autohop;8;8579;4,80578908789261;45,8896413008365
Avenue de la gare;P794;;Fontaines-sur-Saône;69088;SNCF;;;Avenue de la gare;Avenue de la gare;Existant;2008;Poche de stationnement;En surface;False;;40;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;;5;8131;4,84496926534283;45,8377012070268
Place Leclerc;P846;;La Mulatière;69142;GRAND LYON;GRAND LYON;;Rue des Balanciers;Rue des Balanciers;Existant;;Poche de stationnement;En surface;False;;14;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;8196;4,81618948664633;45,725629141117
Gare de Givors Ville;P80;65;Givors;69091;RFF;SNCF;SNCF_20;Esplanade A. de St Exupéry;Esplanade A. de St Exupéry;Existant;;P+R Gare;En surface;False;;188;0;0;0;7;Libre;;Gratuit;Ouvert 24h/24h;Lyon-Saint-Etienne;2;663;4,76634678379212;45,5847995048291
Francfort-Gare (Q Park);P115;;Lyon 3e Arrondissement;69383;PRIVE;Q PARK;;Rue d'Aubigny;Rue d'Aubigny;Existant;2009;Parc privé (ou concédé non GL);En ouvrage (sous-sol);False;1.9;361;0;0;0;8;Mixte;Mixte;Payant;Ouvert 24h/24h;;4;701;4,86230324211442;45,7612984225462
Saint Laurent;P960;;Quincieux;69163;;;;Chemin Saint Laurent;Chemin Saint Laurent;Existant;;Poche de stationnement;En surface;False;;40;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h;;5;8343;4,77905687221625;45,913834534798
Berthelot;P631;;Grigny;69096;GRAND LYON;GRAND LYON;;Avenue Berthelot;Avenue Berthelot;Existant;2009;Poche de stationnement;En surface;False;;25;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;7053;4,78205350276359;45,5975195332053
Charles de Gaulle;P927;;Grigny;69096;COMMUNE;COMMUNE;;Rue Charles de Gaulle;Rue Charles de Gaulle;Existant;;Aire de covoiturage;En surface;False;;25;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;;6;8288;4,78169595740055;45,6041427589571
Poizat;P518;;Saint-Genis-les-Ollières;69205;GRAND LYON;GRAND LYON;;Rue Piccandet;Rue Piccandet;Existant;;Poche de stationnement;En surface;False;;6;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;6180;4,72534090938228;45,756996027606
Gare de Saint Romain de Popey;P1067;;;;;SNCF;;Impasse du Picard;Impasse du Picard;Existant;;P+R Gare;En surface;False;;40;;;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h;;2;8535;4,54233509945461;45,8616053003999
Poste;P341;;Oullins;69149;GRAND LYON;GRAND LYON;;Rue Diderot;Rue Diderot;Existant;;Poche de stationnement;En surface;False;;29;;;;1;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;1101;4,80990414845026;45,7153777981492
Cimetière;P308;;Dardilly;69072;COMMUNE;COMMUNE;;Avenue de Verdun;Avenue de Verdun;Existant;1999;Poche de stationnement;En surface;False;;50;0;0;0;1;Libre;Evènementielle;Gratuit;Ouvert 24h/24h;;5;1068;4,75127347117775;45,8098254255874
Square Cardinal;P476;;Vernaison;69260;COMMUNE;COMMUNE;;Chemin du Pelet;Chemin du Pelet;Existant;;Poche de stationnement;En surface;False;;24;0;0;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;6116;4,81273241295836;45,6521161955106
Maison de retraite;P275;;Collonges-au-Mont-d'Or;69063;GRAND LYON;GRAND LYON;;Rue César Paulet;Rue César Paulet;Existant;;Poche de stationnement;En surface;False;;20;;;;;Libre;;Gratuit;Ouvert 24h/24h;;5;1036;4,84078003796442;45,8193235916461
Place Elie Guillon;P202;;Albigny-sur-Saône;69003;COMMUNE;COMMUNE;;Montée du Chanoine Roulet;Montée du Chanoine Roulet;Existant;;Poche de stationnement;En surface;False;;15;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;;5;963;4,82862509920143;45,8677218515178
Bert Macé;P662;;Décines-Charpieu;69275;;;;Avenue Jean Macé;Avenue Jean Macé;Existant;;Poche de stationnement;En surface;False;;7;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;;5;7104;4,95621665898157;45,7669641196477
Valvert;P484;;Tassin-la-Demi-Lune;69244;GRAND LYON;GRAND LYON;;Chemin du Vieux Moulin;Ch. du Vieux Moulin/Bd Valvert;Existant;;Poche de stationnement;En surface;False;;77;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;6123;4,77827107053493;45,765896302517
Place de la Tour;P277;;Collonges-au-Mont-d'Or;69063;GRAND LYON;GRAND LYON;;Rue de Trêves Pâques;Rue de Trêves Pâques;Existant;;Poche de stationnement;En surface;False;;8;;;;2;Libre;Commerciale;Zone bleue;Ouvert 24h/24h;;5;1038;4,84000328928046;45,8165868240849
